Time	statistics.connectTime (0)	statistics.connectTime (1)	statistics.connectTime (2)	PeerNetwork.retries (0)	PeerNetwork.retries (1)	PeerNetwork.retries (2)
20240528220508	1347.300000011921	0	1372.7000000178814	0	0	0	ok
20240528220517	1184.5	0	1321.0999999940395	0	0	0	ok
20240528220527	11318.300000011921	1168.2000000178814	0	2	0	0	ok
20240528220546	1042.4000000059605	0	1387.2000000178814	0	0	0	ok
20240528220556	1289.5999999940395	1767.7000000178814	0	0	0	0	ok
20240528220605	11048.5	0	6455.100000023842	2	0	1	ok
20240528220625	11805.199999988079	1368.699999988079	0	2	0	0	ok
20240528220645	0	6057.4000000059605	1714.5999999940395	0	1	0	ok
20240528220659	2902.9000000059605	2153.800000011921	0	0	0	0	ok
20240528220711	1087.8999999761581	0	6751.5	0	0	1	ok
20240528220726	1097	6490.4000000059605	0	0	1	0	ok
20240528220740	0	7275.299999982119	2916.600000023842	0	1	0	ok
20240528220755	0	1816.0999999940395	1001.5	0	0	0	ok
20240528220805	1506.5999999940395	0	6322.699999988079	0	0	1	ok
20240528220819	1049.5999999940395	11796.5	0	0	2	0	ok
20240528220839	0	1012.0999999940395	1697.9000000059605	0	0	0	ok
20240528220848	6170	0	10972.100000023842	1	0	2	ok
20240528220908	1819.4000000059605	1373.800000011921	0	0	0	0	ok
20240528220917	0	1049.9000000059605	26424.59999999404	0	0	5	ok
20240528220952	1628.699999988079	0	11663.5	0	0	2	ok
20240528221012	6402.5	0	11641.59999999404	1	0	2	ok
20240528221031	0	1736.4000000059605	11237.59999999404	0	0	2	ok
20240528221051	26402.80000001192	0	5985.5	5	0	1	ok
20240528221126	2788.399999976158	0	2813.9000000059605	0	0	0	ok
20240528221138	1031.9000000059605	0	11657.90000000596	0	0	2	ok
20240528221158	1364.199999988079	0	6134.5999999940395	0	0	1	ok
20240528221212	1062.4000000059605	0	1729	0	0	0	ok
20240528221222	1037.7999999821186	0	1367.8999999761581	0	0	0	ok
20240528221231	0	6042.199999988079	5898.899999976158	0	0	0	ok
20240528221246	0	1680.5999999940395	1586.800000011921	0	0	0	ok
20240528221255	1751.800000011921	1709.800000011921	0	0	0	0	ok
20240528221305	0	1642.7999999821186	6175.5	0	0	1	ok
20240528221319	0	1271.199999988079	1719.5	0	0	0	ok
20240528221329	1471.4000000059605	1038	0	0	0	0	ok
20240528221338	0	1783.5	973.5	0	0	0	ok
20240528221348	1659.2000000178814	0	1676.300000011921	0	0	0	ok
20240528221357	1749.300000011921	1314.9000000059605	0	0	0	0	ok
20240528221407	0	1606.199999988079	1727.699999988079	0	0	0	ok
20240528221416	1350.3999999761581	0	1759.4000000059605	0	0	0	ok
20240528221426	1344.0999999940395	1404.2000000178814	0	0	0	0	ok
20240528221435	1444.4000000059605	0	1015.4000000059605	0	0	0	ok
20240528221445	0	1423.300000011921	1596.300000011921	0	0	0	ok
20240528221454	1777.699999988079	0	1045.1000000238419	0	0	0	ok
20240528221504	1499.0999999940395	1038.300000011921	0	0	0	0	ok
20240528221513	1202.199999988079	0	5984.300000011921	0	0	1	ok
20240528221528	1340.2000000178814	0	1156.800000011921	0	0	0	ok
